Date,Open,High,Low,Close,Adj Close,Volume
2023-07-03,339.190002,340.899994,336.570007,337.989990,337.275909,12508700
2023-07-05,335.089996,341.649994,334.730011,338.149994,337.435577,18172400
2023-07-06,337.299988,342.989990,335.500000,341.269989,340.548981,28161200
2023-07-07,339.320007,341.790009,337.000000,337.220001,336.507538,21185300
2023-07-10,334.600006,335.230011,327.589996,331.829987,331.128906,32791400
2023-07-11,331.059998,332.859985,327.000000,332.470001,331.767578,26698200
2023-07-12,336.600006,341.649994,335.670013,337.200012,336.487579,29995300
2023-07-13,339.559998,343.739990,339.019989,342.660004,341.936035,20567200
2023-07-14,347.589996,351.429993,344.309998,345.239990,344.510590,28302200
2023-07-17,345.679993,346.989990,342.200012,345.730011,344.999573,20363900
2023-07-18,345.829987,366.779999,342.170013,359.489990,358.730469,64872700
2023-07-19,361.750000,362.459991,352.440002,355.079987,354.329803,39732900
2023-07-20,353.570007,357.970001,345.369995,346.869995,346.137146,33778400
2023-07-21,349.149994,350.299988,339.829987,343.769989,343.043701,69368900
2023-07-24,345.850006,346.920013,342.309998,345.109985,344.380859,26678100
2023-07-25,347.109985,351.890015,345.070007,350.980011,350.238464,41637700
2023-07-26,341.440002,344.670013,333.109985,337.769989,337.056366,58383700
2023-07-27,340.480011,341.329987,329.049988,330.720001,330.021271,39635300
2023-07-28,333.670013,340.010010,333.170013,338.369995,337.655090,28484900
2023-07-31,336.920013,337.700012,333.359985,335.920013,335.210297,25446000
2023-08-01,335.190002,338.540009,333.700012,336.339996,335.629395,18311900
2023-08-02,333.630005,333.630005,326.359985,327.500000,326.808075,27761300
2023-08-03,326.000000,329.880005,325.950012,326.660004,325.969849,18253700
2023-08-04,331.880005,335.140015,327.239990,327.779999,327.087494,23727700
2023-08-07,328.369995,331.109985,327.519989,330.109985,329.412537,17741500
2023-08-08,326.959991,328.750000,323.000000,326.049988,325.361115,22327600
2023-08-09,326.470001,327.109985,321.049988,322.230011,321.549225,22373300
2023-08-10,326.019989,328.260010,321.179993,322.929993,322.247711,20113700
2023-08-11,320.260010,322.410004,319.209991,321.010010,320.331787,24342600
2023-08-14,321.390015,324.059998,320.079987,324.040009,323.355408,18836100
2023-08-15,323.000000,325.089996,320.899994,321.859985,321.179962,16966300
2023-08-16,320.799988,324.420013,319.799988,320.399994,320.399994,20698900
2023-08-17,320.540009,321.869995,316.209991,316.880005,316.880005,21257200
2023-08-18,314.489990,318.380005,311.549988,316.480011,316.480011,24744800
2023-08-21,317.929993,322.769989,317.040009,321.880005,321.880005,24040000
2023-08-22,325.500000,326.079987,321.459991,322.459991,322.459991,16102000
2023-08-23,323.820007,329.200012,323.459991,327.000000,327.000000,21166400
2023-08-24,332.850006,332.980011,319.959991,319.970001,319.970001,23281400
2023-08-25,321.470001,325.359985,318.799988,322.980011,322.980011,21684100
2023-08-28,325.660004,326.149994,321.720001,323.700012,323.700012,14808500
2023-08-29,321.880005,328.980011,321.880005,328.410004,328.410004,19284600
2023-08-30,328.670013,329.809998,326.450012,328.790009,328.790009,15222100
2023-08-31,329.200012,330.910004,326.779999,327.760010,327.760010,26411000
